Source,T1,Destination,T2,Seq,Latency
10.129.129.2,1697910820,10.143.3.2,1697910820,567,51814414
10.129.129.2,1697910821,10.143.3.2,1697910821,568,51829173
10.129.129.2,1697910822,10.143.3.2,1697910822,569,51793591
10.129.129.2,1697910823,10.143.3.2,1697910823,570,51797272
10.129.129.2,1697910824,10.143.3.2,1697910824,571,51792617
10.129.129.2,1697910825,10.143.3.2,1697910825,572,51790847
10.129.129.2,1697910826,10.143.3.2,1697910826,573,51832799
10.129.129.2,1697910827,10.143.3.2,1697910827,574,51791984
10.129.129.2,1697910828,10.143.3.2,1697910828,575,51790148
10.129.129.2,1697910829,10.143.3.2,1697910829,576,51809109
10.129.129.2,1697910830,10.143.3.2,1697910830,577,51793646
10.129.129.2,1697910831,10.143.3.2,1697910831,578,51791209
10.129.129.2,1697910832,10.143.3.2,1697910832,579,51792657
10.129.129.2,1697910833,10.143.3.2,1697910833,580,51820405
10.129.129.2,1697910834,10.143.3.2,1697910834,581,51791093
10.129.129.2,1697910835,10.143.3.2,1697910835,582,51791790
10.129.129.2,1697910836,10.143.3.2,1697910836,583,51794846
10.129.129.2,1697910837,10.143.3.2,1697910837,584,51796450
10.129.129.2,1697910838,10.143.3.2,1697910838,585,51792446
10.129.129.2,1697910839,10.143.3.2,1697910839,586,51794825
10.129.129.2,1697910840,10.143.3.2,1697910840,587,51795532
10.129.129.2,1697910841,10.143.3.2,1697910841,588,51792896
10.136.5.2,1697910842,10.143.3.2,1697910842,669,62697528
10.129.129.2,1697910842,10.143.3.2,1697910842,589,51792672
10.136.5.2,1697910843,10.143.3.2,1697910843,670,62678390
10.129.129.2,1697910843,10.143.3.2,1697910843,590,51809706
10.136.5.2,1697910844,10.143.3.2,1697910844,671,62634214
10.129.129.2,1697910844,10.143.3.2,1697910844,591,51797965
10.136.5.2,1697910845,10.143.3.2,1697910845,672,62677875
10.129.129.2,1697910845,10.143.3.2,1697910845,592,51792253
10.136.5.2,1697910846,10.143.3.2,1697910846,673,62654149
10.129.129.2,1697910846,10.143.3.2,1697910846,593,51792657
10.136.5.2,1697910847,10.143.3.2,1697910847,674,62684227
10.129.129.2,1697910847,10.143.3.2,1697910847,594,51809490
10.136.5.2,1697910848,10.143.3.2,1697910848,675,62694570
10.129.129.2,1697910848,10.143.3.2,1697910848,595,51826707
10.136.5.2,1697910849,10.143.3.2,1697910849,676,62701230
10.129.129.2,1697910849,10.143.3.2,1697910849,596,51793258
10.136.5.2,1697910850,10.143.3.2,1697910850,677,62654273
10.129.129.2,1697910850,10.143.3.2,1697910850,597,51794932
10.136.5.2,1697910851,10.143.3.2,1697910851,678,62715359
10.129.129.2,1697910851,10.143.3.2,1697910851,598,51795691
10.136.5.2,1697910852,10.143.3.2,1697910852,679,62739345
10.129.129.2,1697910852,10.143.3.2,1697910852,599,51794744
10.136.5.2,1697910853,10.143.3.2,1697910853,680,62708182
10.129.129.2,1697910853,10.143.3.2,1697910853,600,51796413
10.136.5.2,1697910854,10.143.3.2,1697910854,681,62646012
10.129.129.2,1697910854,10.143.3.2,1697910854,601,51794099
10.136.5.2,1697910855,10.143.3.2,1697910855,682,62667919
10.129.129.2,1697910855,10.143.3.2,1697910855,602,51806056
10.136.5.2,1697910856,10.143.3.2,1697910856,683,62677041
10.129.129.2,1697910856,10.143.3.2,1697910856,603,51826323
10.136.5.2,1697910857,10.143.3.2,1697910857,684,62682108
10.129.129.2,1697910857,10.143.3.2,1697910857,604,51801084
10.136.5.2,1697910858,10.143.3.2,1697910858,685,62642902
10.129.129.2,1697910858,10.143.3.2,1697910858,605,51818663
10.136.5.2,1697910859,10.143.3.2,1697910859,686,62658497
10.129.129.2,1697910859,10.143.3.2,1697910859,606,51791219
10.136.5.2,1697910860,10.143.3.2,1697910860,687,62665182
10.129.129.2,1697910860,10.143.3.2,1697910860,607,51809368
10.136.5.2,1697910861,10.143.3.2,1697910861,688,62656602
10.129.129.2,1697910861,10.143.3.2,1697910861,608,51795801
10.136.5.2,1697910862,10.143.3.2,1697910862,689,62719040
10.129.129.2,1697910862,10.143.3.2,1697910862,609,51843698
10.136.5.2,1697910863,10.143.3.2,1697910863,690,62655739
10.129.129.2,1697910863,10.143.3.2,1697910863,610,51793349
10.136.5.2,1697910864,10.143.3.2,1697910864,691,62689319
10.129.129.2,1697910864,10.143.3.2,1697910864,611,51801888
10.136.5.2,1697910865,10.143.3.2,1697910865,692,62638013
10.129.129.2,1697910865,10.143.3.2,1697910865,612,51838742
10.136.5.2,1697910866,10.143.3.2,1697910866,693,62682961
10.129.129.2,1697910866,10.143.3.2,1697910866,613,51828802
